,id,startlanguage,D001,D002,D003,D004,D005,M001,M002,M003,T001_SQ001,T001_SQ002,T001_SQ003,T001_SQ004,T001_SQ005,T001_SQ006,T001_SQ007,T001a,T002_SQ001,T002_SQ002,T002_SQ003,T002_SQ004,T002_SQ005,T002_SQ007,T003_SQ001,T003_SQ002,T003_SQ003,T003_SQ004,T003_SQ005,T003a,T004_SQ001,T004_SQ002,T004_SQ003,T004_SQ004,T004_SQ005,T004_SQ006,T004_SQ007,T004a,MM001,WM002_SQ001,WM002_SQ002,WM002_SQ003,WM002_SQ004,WM002_SQ005,WM002_SQ006,WM002_SQ007,WM002_SQ008,WM002a,MM002_SQ001,MM002_SQ002,MM002_SQ003,MM002_SQ004,MM002_SQ005,MM002_SQ006,MM002_SQ007,MM002_SQ008,MM002a,MM003_SQ001,MM003_SQ002,MM003_SQ003,MM003_SQ004,MM003_SQ005,MM003_SQ007,MM003_SQ006,MM003a,MM003b_SQ001,MM003b_SQ002,MM003b_SQ003,MM003b_SQ004,MM003b_SQ005,MM003b_SQ006,MM004_SQ001,MM004_SQ002,MM004_SQ003,MM004_SQ004,MM004_SQ005,MM004a,AC001
30,42,en,25,Male,NA,manager,us,Several times per week,Several times per week,30 minutes to 1 hour,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,5,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,1-4 times per month,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA,NA,NA,NA,NA,NA,Not selected,Not selected,Yes,Not selected,Not selected,NA,NA
31,44,en,28,Male,NA,construction,usa,Several times per week,Once per week,Less than 30 minutes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,"presentation, taking notes",NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,1-4 times per month,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,notes,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA
32,45,en,33,Male,NA,data entry,United States,Less than once per week,Less than once per week,Less than 30 minutes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,taking notes,NA,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Never,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA,NA,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA
33,47,en,31,Male,NA,customer care executive,USA,Once per week,Once per week,1 to 2 hours,Not selected,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,Write up,NA,post messages,NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Never,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,posting information,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA
34,48,en,26,Female,NA,Vet Tech,USA,Several times per week,Several times per week,30 minutes to 1 hour,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,Note taking,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Never,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,note taking,NA,NA,NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA
35,49,en,38,Male,NA,cook,United States,Several times per week,Every day,Less than 30 minutes,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,notes,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,NA,Never,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,notes,NA,NA,Yes,Yes,Not selected,Yes,Not selected,NA,NA
36,50,en,24,Male,NA,Account Officer,USA,Every day,Less than once per week,1 to 2 hours,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,Work,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,1-4 times per month,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,Taking notes,NA,NA,NA,NA,Not selected,Not selected,Yes,Not selected,Not selected,NA,NA
37,51,en,36,Male,NA,sales,usa,Every day,Every day,30 minutes to 1 hour,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,notes,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,NA,1-4 times per month,Not selected,Yes,Not selected,Not selected,Yes,Yes,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,notes,NA,NA,Yes,Yes,Yes,Yes,Not selected,NA,NA
38,55,en,27,Male,NA,IT,USA,Every day,Every day,30 minutes to 1 hour,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA,NA,NA,NA,NA,NA,Yes,Not selected,Not selected,Not selected,Not selected,NA,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Less than once per month,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA,NA,NA,NA,NA,NA,Not selected,Yes,Yes,Not selected,Not selected,NA,NA
39,56,en,35,Male,NA,Information Technology,United States,Several times per week,Several times per week,Less than 30 minutes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,taking notes,"looking up information, taking notes",NA,"editing calendar/todo, texting",NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,NA,Less than once per month,Yes,Yes,Not selected,Yes,Yes,Yes,Yes,Not selected,NA,Yes,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,Yes,Not selected,Yes,Yes,Yes,Not selected,Not selected,NA,taking notes,NA,"looking up information, taking notes","editing calendar, taking notes, recording, texting",recording notes,NA,Yes,Yes,Yes,Yes,Not selected,NA,None
40,57,en,33,Male,NA,stocker,united states,Every day,Several times per week,30 minutes to 1 hour,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA,NA,NA,NA,NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,1-4 times per month,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA,NA,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA
41,58,en,25,Male,NA,Driver,USA,Less than once per week,Less than once per week,Less than 30 minutes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Use it for quick notes,Using the webcam,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Less than once per month,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,Everything,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA
42,59,en,30,Female,NA,Cashier,United States,Once per week,Once per week,30 minutes to 1 hour,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,writing notes,NA,if I have to google something,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,1-4 times per month,Not selected,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,NA,NA,NA,NA,NA,so I don't have to write anything,NA,Not selected,Yes,Not selected,Yes,Not selected,NA,fun study
43,62,en,28,Female,NA,teacher,United States,Several times per week,Several times per week,30 minutes to 1 hour,Not selected,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,"taking notes, checking slides or data",NA,messages,NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Never,Yes,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,taking notes,NA,NA,Yes,Not selected,Not selected,Yes,Not selected,NA,NA
44,63,en,36,Male,NA,art,USA,Once per week,Several times per week,Less than 30 minutes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,doing work,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,1-4 times per month,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,takingnotes,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA
45,64,en,33,Male,NA,devops,usa,Once per week,Once per week,30 minutes to 1 hour,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,notes and  research,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Never,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,NA,NA,NA,NA,NA,to take notes,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA
46,66,en,29,Female,NA,video captioner,usa,Less than once per week,Less than once per week,Less than 30 minutes,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,taking notes,NA,NA,taking notes,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Yes,Not selected,Not selected,NA,Never,Yes,Yes,Yes,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,recording the convo,NA,NA,Yes,Yes,Yes,Yes,Not selected,NA,NA
47,68,en,39,Female,NA,Healthcare,United States,Less than once per week,Less than once per week,Less than 30 minutes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA,NA,NA,NA,NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Never,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,taking notes,NA,NA,recording notes,NA,NA,Not selected,Yes,Yes,Not selected,Not selected,NA,NA
48,69,en,31,Male,NA,finance sector,United States,Several times per week,Once per week,1 to 2 hours,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,documentary,NA,NA,NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Yes,Not selected,NA,1-4 times per month,Not selected,Not selected,Not selected,Yes,Not selected,Yes,Not selected,Not selected,NA,Yes,Not selected,Yes,Yes,Yes,Not selected,Not selected,Not selected,NA,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,shortern,NA,NA,recording,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,good study
49,70,en,32,Male,NA,office clerk,USA,Several times per week,Once per week,30 minutes to 1 hour,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,referring to notes I need for the meeting,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Never,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,notes,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA
50,72,en,52,Male,NA,IT technician,USA,Several times per week,Several times per week,30 minutes to 1 hour,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,NA,NA,presentation,explanation,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,1-4 times per month,Yes,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,presentation,NA,NA,NA,NA,Not selected,Yes,Yes,Not selected,Not selected,NA,NA
51,73,en,31,Male,NA,Insurance Agency,America,Several times per week,Less than once per week,Less than 30 minutes,Not selected,Yes,Not selected,Not selected,Yes,Not selected,Not selected,NA,NA,Video,NA,NA,To hear and to speak,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,NA,1-4 times per month,Not selected,Not selected,Not selected,Yes,Not selected,Yes,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA,NA,NA,NA,NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA
52,74,en,48,Female,NA,optician,United States,Less than once per week,Less than once per week,30 minutes to 1 hour,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,making notes,NA,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Less than once per month,Not selected,Not selected,Not selected,Yes,Yes,Not selected,Not selected,Not selected,NA,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,NA,NA,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA
53,76,en,29,Female,NA,educational services,united states of america,Every day,Several times per week,1 to 2 hours,Not selected,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,tying the sppeches,NA,reccording the sppeches and taking photographs,NA,NA,Not selected,Not selected,Yes,Yes,Not selected,NA,Not selected,Not selected,Yes,Not selected,Yes,Not selected,Not selected,NA,1-4 times per month,Not selected,Yes,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Yes,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,taking photographs and speeches,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,nice  survey
54,77,en,27,Male,NA,Retail,USA,Every day,Every day,More than 2 hours,Not selected,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,project working purpose only,NA,using conversion,NA,NA,Not selected,Yes,Yes,Not selected,Not selected,NA,Not selected,Not selected,Yes,Yes,Yes,Not selected,Not selected,NA,1-4 times per month,Not selected,Yes,Not selected,Yes,Not selected,Yes,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Yes,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,project work olny,NA,conversesion purpose only,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,good one
55,78,en,25,Male,NA,Nursing,United States,Once per week,Once per week,Less than 30 minutes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,Noting down important points,NA,NA,NA,NA,Not selected,Not selected,Yes,Not selected,Not selected,NA,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Less than once per month,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,Recording important points.,NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,Technology use during meeting i would not prefer walking meeting.
56,80,en,30,Male,NA,BUSINESS,UNITED STATES,Once per week,Several times per week,1 to 2 hours,Not selected,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,USING DOCUMENTS,NA,THEN SAVING DOCUMENTS,NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Yes,Yes,Yes,Not selected,Yes,Not selected,NA,1-4 times per month,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Yes,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Yes,Yes,Yes,Yes,Yes,Not selected,Not selected,NA,NOTES,DOCUMENTS,PICTURES,PHOTOS,NEXT USEFUL,NA,Not selected,Yes,Yes,Not selected,Not selected,NA,GOOD
57,85,en,31,Male,NA,admin,us,Several times per week,Once per week,30 minutes to 1 hour,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,contact,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,1-4 times per month,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,taking notes,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA
58,81,en,27,Female,NA,customer support,United States,Once per week,Several times per week,30 minutes to 1 hour,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,NA,chat and working,NA,NA,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,Less than once per month,Yes,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Yes,Yes,Not selected,Not selected,NA,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,NA,for taking notes,presentation,NA,NA,NA,NA,Yes,Yes,Not selected,Not selected,Not selected,NA,NA
59,82,en,49,Male,NA,Fashion stylist,United States,Once per week,Several times per week,30 minutes to 1 hour,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,jotting down points being raised during the meeting,NA,NA,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,Less than once per month,Yes,Yes,Not selected,Yes,Not selected,Not selected,Yes,Not selected,NA,Yes,Not selected,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,NA,NA,NA,NA,NA,recording our conversations for future purpose,NA,Not selected,Not selected,Yes,Yes,Not selected,NA,NA
60,83,en,47,Female,NA,software engineer,canada,Every day,Every day,30 minutes to 1 hour,Yes,Yes,Not selected,Yes,Not selected,Not selected,Not selected,NA,to jot down numbers or quick things to remember,to give presentations and to also watch othr presentations and talk to people,NA,to keep track of time and reminders set for me for the day for next meetings,NA,NA,Not selected,Yes,Not selected,Not selected,Not selected,NA,Not selected,Yes,Yes,Not selected,Not selected,Not selected,Not selected,NA,More than 4 times per month,Yes,Yes,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,Yes,Not selected,Not selected,Not selected,Not selected,Not selected,Yes,Not selected,NA,Not selected,Not selected,Not selected,Yes,Not selected,Not selected,Not selected,NA,NA,NA,NA,taking or making a phone call for the meeting and to also keep track of time,NA,NA,Not selected,Yes,Yes,Not selected,Not selected,NA,none
