StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ID,QID1_1,QID1_2,QID1_3,QID1_4,SMS_1,SMS_2,SMS_3,SMS_4,SMS_5,SMS_6,SMS_7,SMS_8,SMS_9,SMS_10,SMS_11,SMS_12,SMS_13,SMS_14,SMS_15,SMS_16,SMS_17,SMS_18,SMS_19,SMS_20,SMS_21,Attrak_1,Attrak_2,Attrak_3,Attrak_4,Attrak_5,Attrak_6,Attrak_7,Attrak_8,Attrak_9,Attrak_10,Attrak_11,Attrak_12,Attrak_13,Attrak_14,Attrak_15,Attrak_16,Attrak_17,Attrak_18,Attrak_19,Attrak_20,Attrak_21,Attrak_22,Attrak_23,Attrak_24,Attrak_25,Attrak_26,Attrak_27,Attrak_28,SUS_1,SUS_2,SUS_3,SUS_4,SUS_5,SUS_6,SUS_7,SUS_8,SUS_9,SUS_10,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,Q11_15,Age,Gender,Gender.1,Q13
2022-07-21 07:45,2022-07-21 09:36,IP Address,138.246.3.120,100,6632,TRUE,2022-07-21 09:36,R_2wb0U7hm9pBND0a,,,,,48.1787,11.5617,anonymous,EN,11,Completely Disagree,Completely Agree,Completely Agree,Completely Agree,4,Neutral,4,Neutral,2,Not Well,4,2,Not Well,4,2,Not Well,2,Not Well,Neutral,4,4,2,4,4,Not Well,3,6,1,2,3,2,7,3,1,7,2,6,7,6,2,6,7,7,4,7,7,4,2,7,7,1,2,7,4,1 - Strongly Disagree,5 - Strongly Agree,1 - Strongly Disagree,4,1 - Strongly Disagree,4,1 - Strongly Disagree,5 - Strongly Agree,1 - Strongly Disagree,5 - Very Infrequently,5 - Very Infrequently,5 - Very Infrequently,3 - Somewhat Frequently,3 - Somewhat Frequently,2 - Very Frequently,3 - Somewhat Frequently,5 - Very Infrequently,2 - Very Frequently,2 - Very Frequently,2 - Very Frequently,1 - Almost Always,3 - Somewhat Frequently,1 - Almost Always,1 - Almost Always,25,Female,,Greater than 1 year
2022-07-21 09:39,2022-07-21 09:44,IP Address,138.246.3.120,100,304,TRUE,2022-07-21 09:44,R_2pLyaBsCNGRFrEU,,,,,48.1787,11.5617,anonymous,EN,12,Disagree,Completely Agree,Agree,Neutral,2,4,Very well,Neutral,Not Well,Neutral,Very well,4,Neutral,Very well,Not Well,Not Well,Neutral,Neutral,2,4,Neutral,4,4,4,2,4,6,2,2,3,2,4,2,2,7,2,6,4,6,2,6,6,6,1,6,6,2,2,6,2,1,2,4,4,2,4,1 - Strongly Disagree,4,2,4,1 - Strongly Disagree,3,2,3 - Somewhat Frequently,3 - Somewhat Frequently,4 - Somewhat Infrequently,5 - Very Infrequently,3 - Somewhat Frequently,5 - Very Infrequently,2 - Very Frequently,4 - Somewhat Infrequently,3 - Somewhat Frequently,3 - Somewhat Frequently,3 - Somewhat Frequently,6 - Almost Never,2 - Very Frequently,4 - Somewhat Infrequently,3 - Somewhat Frequently,24,Female,,Greater than 1 year
2022-07-27 08:27,2022-07-27 08:42,IP Address,213.55.226.31,100,879,TRUE,2022-07-27 08:42,R_12Dv5rV9hgFuPxh,,,,,47.0804,8.2626,anonymous,EN,NP01,Completely Disagree,Disagree,Completely Disagree,Disagree,Neutral,Not Well,Very well,Not Well,Neutral,Not Well,Neutral,Not Well,Very well,Very well,Not Well,Not Well,Very well,Neutral,Not Well,Very well,Neutral,Neutral,Very well,Neutral,Not Well,1,7,2,3,1,2,7,3,1,7,1,6,6,4,1,7,7,6,2,5,5,6,2,3,5,2,5,6,3,1 - Strongly Disagree,5 - Strongly Agree,1 - Strongly Disagree,3,2,4,2,4,2,4 - Somewhat Infrequently,5 - Very Infrequently,5 - Very Infrequently,2 - Very Frequently,3 - Somewhat Frequently,2 - Very Frequently,3 - Somewhat Frequently,2 - Very Frequently,2 - Very Frequently,1 - Almost Always,2 - Very Frequently,1 - Almost Always,2 - Very Frequently,2 - Very Frequently,3 - Somewhat Frequently,27,Male,,Greater than 1 year
2022-07-27 08:47,2022-07-27 08:58,IP Address,213.55.221.114,100,679,TRUE,2022-07-27 08:58,R_2YaFdI2ZtbSVpY5,,,,,46.5267,6.6243,anonymous,EN,NP02,Disagree,Agree,Completely Agree,Neutral,2,4,Very well,2,Neutral,2,4,2,Not Well,Neutral,4,2,4,Neutral,Very well,Very well,Neutral,4,Neutral,4,Neutral,6,5,2,3,4,2,5,1,4,6,5,3,5,4,2,4,6,5,1,5,6,5,2,5,6,1,4,5,3,1 - Strongly Disagree,2,1 - Strongly Disagree,3,3,4,2,3,1 - Strongly Disagree,5 - Very Infrequently,6 - Almost Never,4 - Somewhat Infrequently,5 - Very Infrequently,6 - Almost Never,1 - Almost Always,4 - Somewhat Infrequently,4 - Somewhat Infrequently,3 - Somewhat Frequently,6 - Almost Never,4 - Somewhat Infrequently,6 - Almost Never,5 - Very Infrequently,4 - Somewhat Infrequently,6 - Almost Never,23,Male,,Greater than 1 year
2022-07-28 08:15,2022-07-29 05:54,IP Address,130.82.11.55,100,77934,TRUE,2022-07-29 05:54,R_3n7zcnnxKORBfU3,,,,,47.4234,9.3696,anonymous,EN,NP03,Completely Disagree,Agree,Completely Agree,Agree,Neutral,Neutral,4,4,4,Not Well,Neutral,2,Neutral,4,Not Well,2,Very well,Neutral,Neutral,4,4,4,Very well,Neutral,Not Well,2,6,2,3,2,2,4,2,3,5,5,4,5,4,3,5,5,5,2,6,5,3,3,5,5,2,3,6,4,2,4,1 - Strongly Disagree,3,3,4,2,4,1 - Strongly Disagree,4 - Somewhat Infrequently,5 - Very Infrequently,5 - Very Infrequently,2 - Very Frequently,6 - Almost Never,3 - Somewhat Frequently,5 - Very Infrequently,5 - Very Infrequently,3 - Somewhat Frequently,4 - Somewhat Infrequently,3 - Somewhat Frequently,5 - Very Infrequently,5 - Very Infrequently,5 - Very Infrequently,6 - Almost Never,26,Female,,Greater than 1 year
2022-07-29 05:59,2022-07-29 06:09,IP Address,130.82.11.55,100,565,TRUE,2022-07-29 06:09,R_2wHcs11gH40pALZ,,,,,47.4234,9.3696,anonymous,EN,NP04,Disagree,Agree,Agree,Neutral,Not Well,Neutral,Neutral,Neutral,Neutral,Neutral,4,Neutral,Not Well,4,Neutral,Neutral,2,4,Not Well,Very well,2,2,Neutral,Neutral,Neutral,2,5,2,2,3,2,4,3,3,5,4,3,3,5,3,5,5,7,2,6,5,5,3,4,5,3,3,5,3,2,4,1 - Strongly Disagree,3,1 - Strongly Disagree,4,2,3,1 - Strongly Disagree,6 - Almost Never,5 - Very Infrequently,5 - Very Infrequently,2 - Very Frequently,3 - Somewhat Frequently,1 - Almost Always,4 - Somewhat Infrequently,4 - Somewhat Infrequently,5 - Very Infrequently,5 - Very Infrequently,5 - Very Infrequently,3 - Somewhat Frequently,4 - Somewhat Infrequently,5 - Very Infrequently,6 - Almost Never,25,Male,,Greater than 1 year
2022-08-02 07:42,2022-08-02 07:50,IP Address,46.205.146.10,100,474,TRUE,2022-08-02 07:50,R_2wdJArSevXglsU8,,,,,53.4286,14.5475,anonymous,EN,NP05,Completely Disagree,Agree,Completely Agree,Completely Agree,Neutral,2,Very well,4,Neutral,4,Very well,Very well,2,Very well,Neutral,2,Very well,4,Neutral,4,Very well,Neutral,Very well,4,Not Well,2,6,2,2,3,6,6,2,1,6,3,3,5,6,2,6,6,4,1,5,6,4,2,5,5,1,2,6,5 - Strongly Agree,1 - Strongly Disagree,5 - Strongly Agree,2,4,2,5 - Strongly Agree,1 - Strongly Disagree,4,2,2 - Very Frequently,1 - Almost Always,3 - Somewhat Frequently,3 - Somewhat Frequently,2 - Very Frequently,2 - Very Frequently,2 - Very Frequently,4 - Somewhat Infrequently,3 - Somewhat Frequently,4 - Somewhat Infrequently,5 - Very Infrequently,3 - Somewhat Frequently,2 - Very Frequently,1 - Almost Always,3 - Somewhat Frequently,20,Male,,Less than 1 month
2022-08-02 07:55,2022-08-02 08:05,IP Address,46.205.146.10,100,611,TRUE,2022-08-02 08:05,R_277f9yY9rSjOG5R,,,,,53.4286,14.5475,anonymous,EN,NP06,Disagree,Completely Agree,Completely Agree,Agree,Neutral,Neutral,Very well,2,4,Neutral,Neutral,Neutral,Neutral,4,4,4,4,4,4,Neutral,2,Neutral,4,4,Neutral,1,5,2,2,1,3,5,2,1,4,4,2,4,6,1,7,7,7,1,3,7,3,2,4,6,2,3,5,3,1 - Strongly Disagree,5 - Strongly Agree,1 - Strongly Disagree,3,3,3,3,3,1 - Strongly Disagree,3 - Somewhat Frequently,6 - Almost Never,5 - Very Infrequently,2 - Very Frequently,3 - Somewhat Frequently,2 - Very Frequently,3 - Somewhat Frequently,2 - Very Frequently,3 - Somewhat Frequently,3 - Somewhat Frequently,5 - Very Infrequently,3 - Somewhat Frequently,3 - Somewhat Frequently,4 - Somewhat Infrequently,6 - Almost Never,26,Female,,Less than 1 month
2022-08-02 09:27,2022-08-02 09:36,IP Address,46.205.146.10,100,550,TRUE,2022-08-02 09:36,R_1nMBSR4b9d8Utd3,,,,,53.4286,14.5475,anonymous,EN,NP07,Disagree,Agree,Neutral,Disagree,Very well,Very well,2,2,4,Very well,2,4,Not Well,Neutral,Very well,Very well,2,4,2,Neutral,4,4,Very well,2,Very well,5,6,3,5,5,2,5,1,5,6,5,2,3,3,4,3,4,3,4,6,4,5,6,3,5,3,6,6,2,2,4,1 - Strongly Disagree,3,2,5 - Strongly Agree,3,5 - Strongly Agree,1 - Strongly Disagree,2 - Very Frequently,5 - Very Infrequently,6 - Almost Never,2 - Very Frequently,4 - Somewhat Infrequently,6 - Almost Never,5 - Very Infrequently,6 - Almost Never,2 - Very Frequently,5 - Very Infrequently,3 - Somewhat Frequently,6 - Almost Never,1 - Almost Always,5 - Very Infrequently,5 - Very Infrequently,30,Female,,Less than 1 month
2022-08-02 09:36,2022-08-02 09:42,IP Address,46.205.146.10,100,380,TRUE,2022-08-02 09:42,R_1OCvFkCDxRIcttV,,,,,53.4286,14.5475,anonymous,EN,NP08,Completely Disagree,Agree,Completely Agree,Agree,Neutral,Neutral,Very well,Very well,Neutral,Very well,Very well,Very well,Very well,Very well,Neutral,Very well,Very well,Very well,Very well,Very well,Neutral,Very well,Very well,Very well,Very well,6,5,2,3,1,1,4,1,1,7,4,3,4,6,2,4,6,6,1,5,6,1,2,6,3,2,4,6,4,1 - Strongly Disagree,5 - Strongly Agree,1 - Strongly Disagree,5 - Strongly Agree,1 - Strongly Disagree,5 - Strongly Agree,3,5 - Strongly Agree,1 - Strongly Disagree,5 - Very Infrequently,6 - Almost Never,6 - Almost Never,1 - Almost Always,6 - Almost Never,6 - Almost Never,3 - Somewhat Frequently,6 - Almost Never,5 - Very Infrequently,5 - Very Infrequently,6 - Almost Never,2 - Very Frequently,4 - Somewhat Infrequently,5 - Very Infrequently,6 - Almost Never,20,Male,,Less than 1 month
2022-08-02 10:32,2022-08-02 10:40,IP Address,138.246.3.121,100,509,TRUE,2022-08-02 10:40,R_1mzc00vI2p1FVG3,,,,,48.1787,11.5617,anonymous,EN,13,Disagree,Completely Agree,Completely Agree,Agree,Neutral,4,Very well,Neutral,4,Neutral,Neutral,4,4,Very well,Neutral,2,Very well,Neutral,Very well,Very well,4,4,Very well,Neutral,4,3,6,2,1,1,4,2,1,3,4,5,4,5,2,2,4,4,6,2,5,4,3,2,5,2,3,2,4,5 - Strongly Agree,1 - Strongly Disagree,5 - Strongly Agree,1 - Strongly Disagree,4,1 - Strongly Disagree,4,2,3,1 - Strongly Disagree,3 - Somewhat Frequently,2 - Very Frequently,3 - Somewhat Frequently,2 - Very Frequently,3 - Somewhat Frequently,1 - Almost Always,5 - Very Infrequently,4 - Somewhat Infrequently,3 - Somewhat Frequently,4 - Somewhat Infrequently,5 - Very Infrequently,6 - Almost Never,3 - Somewhat Frequently,4 - Somewhat Infrequently,4 - Somewhat Infrequently,27,Male,,Less than 6 months
2022-08-02 10:47,2022-08-02 10:52,IP Address,138.246.3.121,100,285,TRUE,2022-08-02 10:52,R_2t9C28KuBD1ZXo8,,,,,48.1787,11.5617,anonymous,EN,14,Completely Disagree,Agree,Completely Agree,Agree,Neutral,4,Very well,4,Neutral,4,Neutral,4,4,Very well,2,2,4,4,4,4,4,Very well,4,2,4,6,7,2,1,4,2,5,1,2,6,5,1,5,6,1,5,5,6,2,6,6,2,2,5,5,1,1,6,4,1 - Strongly Disagree,5 - Strongly Agree,1 - Strongly Disagree,4,1 - Strongly Disagree,5 - Strongly Agree,1 - Strongly Disagree,5 - Strongly Agree,1 - Strongly Disagree,5 - Very Infrequently,3 - Somewhat Frequently,5 - Very Infrequently,4 - Somewhat Infrequently,6 - Almost Never,3 - Somewhat Frequently,5 - Very Infrequently,5 - Very Infrequently,3 - Somewhat Frequently,4 - Somewhat Infrequently,3 - Somewhat Frequently,4 - Somewhat Infrequently,4 - Somewhat Infrequently,5 - Very Infrequently,3 - Somewhat Frequently,26,Female,,Less than 6 months
2022-08-05 03:54,2022-08-05 04:05,IP Address,46.205.146.10,100,618,TRUE,2022-08-05 04:05,R_31nsd5tUoKd7aDs,,,,,53.4286,14.5475,anonymous,EN,NP09,Agree,Agree,Disagree,Agree,Very well,Very well,Neutral,4,Very well,Very well,Neutral,4,2,4,Very well,4,4,4,Very well,4,4,4,Very well,Neutral,Very well,2,7,2,2,3,4,4,1,4,6,1,3,4,5,2,6,7,7,1,5,6,2,1,6,5,2,2,5,4,1 - Strongly Disagree,5 - Strongly Agree,1 - Strongly Disagree,5 - Strongly Agree,2,4,2,5 - Strongly Agree,1 - Strongly Disagree,6 - Almost Never,3 - Somewhat Frequently,3 - Somewhat Frequently,2 - Very Frequently,5 - Very Infrequently,1 - Almost Always,2 - Very Frequently,2 - Very Frequently,3 - Somewhat Frequently,2 - Very Frequently,2 - Very Frequently,2 - Very Frequently,3 - Somewhat Frequently,3 - Somewhat Frequently,6 - Almost Never,24,Female,,Greater than 1 year
2022-08-05 04:11,2022-08-05 04:18,IP Address,46.205.146.10,100,427,TRUE,2022-08-05 04:18,R_V53YmrkvwkCuGid,,,,,53.4286,14.5475,anonymous,EN,NP10,Neutral,Agree,Agree,Disagree,4,Neutral,4,Neutral,2,4,Neutral,Neutral,4,4,4,2,4,4,4,4,4,Neutral,4,Neutral,4,3,5,3,6,2,2,5,1,2,5,2,2,1,6,1,4,5,5,2,4,5,2,2,5,4,3,5,6,1 - Strongly Disagree,2,3,1 - Strongly Disagree,4,1 - Strongly Disagree,4,3,5 - Strongly Agree,1 - Strongly Disagree,2 - Very Frequently,5 - Very Infrequently,4 - Somewhat Infrequently,1 - Almost Always,3 - Somewhat Frequently,3 - Somewhat Frequently,3 - Somewhat Frequently,3 - Somewhat Frequently,5 - Very Infrequently,4 - Somewhat Infrequently,2 - Very Frequently,6 - Almost Never,4 - Somewhat Infrequently,3 - Somewhat Frequently,3 - Somewhat Frequently,24,Male,,Greater than 1 year
2022-08-05 03:44,2022-08-05 04:44,IP Address,138.246.3.121,100,3627,TRUE,2022-08-05 04:44,R_2xymURyjmRnwUpi,,,,,48.1787,11.5617,anonymous,EN,17,Completely Disagree,Completely Agree,Completely Agree,Completely Agree,4,Very well,Very well,Neutral,Very well,Very well,Very well,Very well,Neutral,4,Neutral,4,Very well,Very well,Very well,Very well,Very well,Very well,Very well,Very well,Very well,1,7,1,1,1,1,7,1,1,6,2,2,5,4,1,7,7,7,1,7,7,7,1,7,7,1,3,7,5 - Strongly Agree,1 - Strongly Disagree,5 - Strongly Agree,1 - Strongly Disagree,5 - Strongly Agree,2,5 - Strongly Agree,1 - Strongly Disagree,5 - Strongly Agree,2,4 - Somewhat Infrequently,5 - Very Infrequently,4 - Somewhat Infrequently,4 - Somewhat Infrequently,5 - Very Infrequently,1 - Almost Always,3 - Somewhat Frequently,4 - Somewhat Infrequently,4 - Somewhat Infrequently,4 - Somewhat Infrequently,5 - Very Infrequently,4 - Somewhat Infrequently,3 - Somewhat Frequently,3 - Somewhat Frequently,5 - Very Infrequently,25,Female,,Less than 6 months
2022-08-05 04:47,2022-08-05 04:58,IP Address,138.246.3.121,100,679,TRUE,2022-08-05 04:58,R_3QGbROLQSCbgeyG,,,,,48.1787,11.5617,anonymous,EN,18,Completely Disagree,Completely Agree,Completely Agree,Agree,Neutral,4,4,Very well,Very well,Neutral,Very well,4,Not Well,4,4,Neutral,4,4,2,Very well,Neutral,Neutral,4,Very well,4,3,7,1,4,5,2,4,2,2,6,2,1,6,7,4,3,3,6,2,6,4,4,1,6,4,3,1,6,3,1 - Strongly Disagree,5 - Strongly Agree,1 - Strongly Disagree,5 - Strongly Agree,1 - Strongly Disagree,5 - Strongly Agree,3,3,1 - Strongly Disagree,3 - Somewhat Frequently,6 - Almost Never,2 - Very Frequently,1 - Almost Always,2 - Very Frequently,1 - Almost Always,3 - Somewhat Frequently,3 - Somewhat Frequently,4 - Somewhat Infrequently,5 - Very Infrequently,1 - Almost Always,3 - Somewhat Frequently,1 - Almost Always,2 - Very Frequently,5 - Very Infrequently,23,Female,,Less than 1 year
2022-08-06 06:40,2022-08-06 06:56,IP Address,188.146.139.15,100,931,TRUE,2022-08-06 06:56,R_b4rKO1cVqupzqGR,,,,,52.4052,16.9339,anonymous,EN,NP11,Disagree,Completely Agree,Agree,Agree,Neutral,Neutral,Very well,Very well,Very well,Neutral,Very well,Very well,Neutral,Very well,Neutral,Very well,Neutral,Neutral,Neutral,Very well,Very well,Neutral,Very well,Very well,Neutral,3,5,2,2,4,4,5,2,1,4,4,7,4,6,1,4,5,7,1,6,5,4,2,4,6,2,2,6,3,1 - Strongly Disagree,4,2,4,1 - Strongly Disagree,5 - Strongly Agree,3,3,2,3 - Somewhat Frequently,3 - Somewhat Frequently,5 - Very Infrequently,5 - Very Infrequently,5 - Very Infrequently,1 - Almost Always,2 - Very Frequently,4 - Somewhat Infrequently,5 - Very Infrequently,4 - Somewhat Infrequently,4 - Somewhat Infrequently,5 - Very Infrequently,2 - Very Frequently,4 - Somewhat Infrequently,3 - Somewhat Frequently,23,Female,,Greater than 1 year
2022-08-06 06:58,2022-08-06 07:08,IP Address,188.146.139.15,100,590,TRUE,2022-08-06 07:08,R_1jcDu7yOi30TiRg,,,,,52.4052,16.9339,anonymous,EN,NP12,Disagree,Agree,Completely Agree,Agree,Neutral,Very well,Very well,Very well,Very well,Very well,Very well,Very well,Neutral,Very well,Very well,Not Well,Not Well,Neutral,Very well,Very well,Very well,Very well,Not Well,Very well,Very well,3,5,2,2,4,5,6,2,2,5,5,2,2,5,2,5,5,2,2,5,6,5,2,5,6,2,4,6,4,2,4,1 - Strongly Disagree,4,2,4,1 - Strongly Disagree,4,1 - Strongly Disagree,2 - Very Frequently,2 - Very Frequently,3 - Somewhat Frequently,1 - Almost Always,2 - Very Frequently,5 - Very Infrequently,2 - Very Frequently,3 - Somewhat Frequently,2 - Very Frequently,3 - Somewhat Frequently,5 - Very Infrequently,3 - Somewhat Frequently,3 - Somewhat Frequently,3 - Somewhat Frequently,5 - Very Infrequently,21,Male,,Less than 1 year
2022-08-08 10:21,2022-08-08 10:33,IP Address,188.146.139.15,100,757,TRUE,2022-08-08 10:33,R_8enFqlNPsWiPgit,,,,,52.4052,16.9339,anonymous,EN,NP13,Disagree,Agree,Agree,Completely Agree,Neutral,4,Very well,Neutral,2,Neutral,Very well,4,Not Well,Very well,4,Neutral,Very well,Very well,4,4,4,Neutral,Neutral,4,Very well,2,7,2,1,3,3,7,6,2,6,3,6,4,7,1,6,5,6,2,2,6,4,2,5,3,1,1,5,5 - Strongly Agree,2,5 - Strongly Agree,1 - Strongly Disagree,3,2,5 - Strongly Agree,1 - Strongly Disagree,3,2,4 - Somewhat Infrequently,6 - Almost Never,3 - Somewhat Frequently,2 - Very Frequently,5 - Very Infrequently,1 - Almost Always,3 - Somewhat Frequently,3 - Somewhat Frequently,4 - Somewhat Infrequently,2 - Very Frequently,5 - Very Infrequently,6 - Almost Never,5 - Very Infrequently,4 - Somewhat Infrequently,5 - Very Infrequently,22,Female,,Greater than 1 year
